               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11256,            0.029696,            0.049112,          0.00058434,             0.11538,          0.00042904,          7.9386e-05,            0.091378,            0.020025,            0.049231,               0.091,               0.001,               0.001
                   1,             0.07958,             0.03068,            0.043363,           0.0018757,             0.48077,            0.011123,           0.0039475,            0.058566,            0.018357,            0.039069,            0.080996,            0.001996,            0.001996
                   2,            0.060385,            0.029392,            0.038633,            0.043417,               0.575,             0.30089,             0.12982,            0.045883,            0.013124,            0.032916,            0.070883,           0.0028832,           0.0028832
                   3,            0.050362,            0.025531,            0.034649,             0.39761,             0.48258,             0.54834,             0.19122,            0.048364,            0.010388,            0.031744,            0.060661,           0.0036614,           0.0036614
                   4,            0.049957,            0.022465,            0.034035,             0.47337,               0.525,             0.57581,             0.28569,            0.045731,            0.008918,            0.030469,            0.050331,           0.0043308,           0.0043308
                   5,            0.049763,             0.02012,              0.0334,             0.97903,                0.25,             0.48506,             0.21989,            0.055754,           0.0069568,            0.029382,            0.039891,           0.0048912,           0.0048912
                   6,            0.047725,            0.019136,            0.030576,              0.6196,             0.55577,               0.519,             0.18927,            0.047167,           0.0064976,            0.029504,            0.029343,           0.0053428,           0.0053428
                   7,            0.046731,            0.015219,            0.030295,             0.49663,                0.55,             0.56346,             0.29208,            0.046554,           0.0060887,            0.021877,            0.018685,           0.0056854,           0.0056854
                   8,            0.044554,            0.016156,            0.026547,             0.67495,             0.54844,             0.59891,             0.28728,            0.040758,           0.0056717,             0.01834,           0.0079192,           0.0059192,           0.0059192
                   9,            0.044159,            0.013777,            0.025482,             0.74788,             0.58372,             0.69818,             0.39411,            0.039781,            0.005302,            0.014157,            0.005545,            0.005545,            0.005545
                  10,            0.042775,            0.013661,            0.018724,             0.78011,             0.71525,             0.69977,             0.42531,            0.039328,           0.0049074,            0.011489,            0.005545,            0.005545,            0.005545
                  11,            0.041868,            0.012979,            0.017593,             0.70032,                0.75,             0.70108,             0.42252,            0.039586,           0.0049407,           0.0083328,             0.00505,             0.00505,             0.00505
                  12,            0.039904,             0.01258,            0.014722,             0.71499,                0.75,             0.74056,             0.39625,            0.037656,           0.0050507,           0.0065338,            0.004555,            0.004555,            0.004555
                  13,             0.03706,            0.011541,            0.011947,             0.97032,                0.75,             0.78771,             0.44542,            0.035507,           0.0048878,           0.0053509,             0.00406,             0.00406,             0.00406
                  14,            0.034309,            0.012343,            0.010624,             0.94353,                0.75,             0.80844,             0.51439,            0.036457,           0.0044014,           0.0044291,            0.003565,            0.003565,            0.003565
                  15,            0.032088,            0.010558,           0.0094311,              0.9919,                0.75,             0.80844,             0.51128,            0.033806,           0.0043516,           0.0039408,             0.00307,             0.00307,             0.00307
                  16,            0.031474,            0.010595,            0.008333,             0.99143,                0.75,             0.80844,             0.55699,            0.028686,           0.0043325,           0.0036556,            0.002575,            0.002575,            0.002575
                  17,            0.029119,            0.010432,           0.0077488,             0.98919,                0.75,               0.796,             0.55953,            0.027621,           0.0043831,           0.0033695,             0.00208,             0.00208,             0.00208
                  18,            0.027091,            0.010433,            0.008569,             0.99055,                0.75,             0.78771,             0.56235,            0.028358,           0.0043378,            0.003138,            0.001585,            0.001585,            0.001585
                  19,            0.026547,            0.010354,           0.0073232,             0.99201,                0.75,               0.796,             0.54206,            0.027687,           0.0043697,           0.0028353,             0.00109,             0.00109,             0.00109
