               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.079222,            0.034217,             0.02091,             0.35652,             0.46968,             0.49099,             0.31823,            0.017385,           0.0039866,           0.0047876,            0.070294,           0.0033007,           0.0033007
                   1,            0.050211,            0.026961,             0.01313,             0.32405,             0.73099,             0.46462,             0.40797,            0.013359,           0.0036663,            0.003367,            0.039697,           0.0060369,           0.0060369
                   2,            0.044737,            0.024942,            0.010107,             0.89612,             0.92992,             0.96591,             0.90777,           0.0082531,           0.0033687,            0.001897,              0.0085,           0.0081732,           0.0081732
                   3,            0.040546,            0.024791,           0.0091679,             0.84034,             0.91794,              0.9518,             0.82751,           0.0060222,           0.0036131,           0.0012325,              0.0073,              0.0073,              0.0073
                   4,            0.038085,            0.023742,           0.0096323,             0.73004,             0.82934,             0.79648,             0.43686,            0.012576,           0.0038785,           0.0028197,              0.0073,              0.0073,              0.0073
                   5,            0.035643,            0.023488,           0.0086474,             0.69324,             0.68774,             0.84911,             0.69265,           0.0074757,           0.0029232,           0.0055817,              0.0064,              0.0064,              0.0064
                   6,            0.031778,            0.022046,           0.0081752,             0.87221,             0.93649,             0.92071,             0.76366,           0.0071877,           0.0024141,          0.00087917,              0.0055,              0.0055,              0.0055
                   7,            0.030314,             0.02075,           0.0064593,             0.89865,             0.73493,             0.94248,             0.91469,           0.0058612,           0.0023116,           0.0032435,              0.0046,              0.0046,              0.0046
                   8,            0.028197,            0.020758,           0.0059073,             0.87938,             0.88939,             0.96104,             0.90585,           0.0084051,           0.0025795,          0.00090487,              0.0037,              0.0037,              0.0037
                   9,            0.025991,            0.019834,           0.0058417,             0.88361,             0.91897,             0.96183,             0.87858,           0.0044296,           0.0021711,          0.00083241,              0.0028,              0.0028,              0.0028
                  10,            0.025323,            0.018865,           0.0056205,             0.88857,             0.88693,             0.96655,             0.89902,           0.0041994,           0.0021299,          0.00087269,              0.0019,              0.0019,              0.0019
