               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12347,            0.032278,            0.031253,           0.0022727,             0.29167,           0.0030873,          0.00058653,              0.1227,            0.022913,            0.031244,              0.0964,              0.0004,              0.0004
                   1,             0.11312,            0.032443,            0.029981,           0.0022566,             0.29167,           0.0036597,          0.00073328,              0.1051,            0.021479,            0.026544,            0.091883,          0.00088253,          0.00088253
                   2,            0.094752,            0.033164,            0.025913,           0.0053108,             0.83333,            0.065273,            0.012161,            0.081858,            0.022379,            0.020847,            0.087346,           0.0013456,           0.0013456
                   3,            0.082424,            0.036446,            0.021721,           0.0056251,               0.875,               0.214,            0.074367,            0.071471,            0.021852,            0.017319,            0.082789,           0.0017894,           0.0017894
                   4,            0.073821,            0.031101,            0.015945,              0.7589,                0.25,              0.2991,             0.10101,            0.069441,            0.019001,            0.013455,            0.078214,           0.0022136,           0.0022136
                   5,             0.07003,            0.031959,            0.012857,              0.9594,             0.29167,             0.38222,             0.15202,            0.067945,            0.017469,           0.0095215,            0.073619,           0.0026185,           0.0026185
                   6,            0.068603,            0.032587,            0.010797,             0.78073,                0.25,             0.31906,            0.092557,             0.06816,             0.01808,           0.0071396,            0.069004,            0.003004,            0.003004
                   7,            0.063578,            0.026735,           0.0075778,             0.70157,             0.29167,             0.33007,             0.11268,            0.070447,            0.017753,           0.0049286,             0.06437,           0.0033701,           0.0033701
                   8,            0.064234,            0.024864,           0.0056958,             0.69992,             0.41667,             0.38344,             0.15264,            0.064297,            0.015417,           0.0038731,            0.059717,           0.0037167,           0.0037167
                   9,            0.061422,            0.024666,           0.0047239,             0.68622,               0.375,             0.26273,              0.1258,            0.068245,            0.014039,            0.002924,            0.055044,           0.0040439,           0.0040439
                  10,             0.06155,            0.022209,           0.0041916,              0.2858,             0.83333,             0.50183,             0.15958,            0.064105,            0.013192,           0.0026299,            0.050352,           0.0043518,           0.0043518
                  11,            0.061399,             0.02449,           0.0049402,             0.17752,             0.70833,             0.20877,            0.064688,            0.068918,            0.012607,            0.002314,             0.04564,           0.0046402,           0.0046402
                  12,             0.05906,            0.022163,           0.0033112,             0.26363,             0.70833,             0.25675,             0.08679,            0.067261,            0.012195,           0.0022579,            0.040909,           0.0049092,           0.0049092
                  13,            0.059952,            0.022667,           0.0038044,             0.38151,             0.79167,             0.55448,             0.22054,            0.059774,            0.012204,           0.0022659,            0.036159,           0.0051588,           0.0051588
                  14,            0.057914,            0.020648,           0.0035737,             0.79112,             0.41667,             0.59844,             0.22042,            0.057703,             0.01196,            0.002346,            0.031389,           0.0053889,           0.0053889
                  15,            0.055886,            0.020666,           0.0031339,             0.44728,               0.539,             0.53452,             0.18757,            0.061168,            0.011592,           0.0021259,              0.0266,           0.0055997,           0.0055997
                  16,            0.058485,             0.01821,           0.0030307,             0.58521,             0.65501,             0.58867,             0.18071,            0.060356,            0.011783,           0.0019711,            0.021791,           0.0057911,           0.0057911
                  17,            0.061061,            0.018222,           0.0026119,             0.68841,                 0.5,             0.67202,             0.29905,            0.055242,            0.011774,           0.0020714,            0.016963,            0.005963,            0.005963
                  18,            0.057078,            0.020494,           0.0026819,             0.31113,             0.83333,             0.47187,             0.15611,            0.064312,            0.012321,           0.0020523,            0.012116,           0.0061155,           0.0061155
                  19,            0.055904,            0.019036,           0.0025974,             0.28287,             0.70833,             0.43935,             0.19472,             0.05697,            0.012008,           0.0023083,           0.0072486,           0.0062486,           0.0062486
                  20,            0.053217,            0.018194,           0.0025292,             0.64273,             0.54167,             0.55703,             0.17885,            0.058197,            0.012061,            0.002335,           0.0061176,           0.0061176,           0.0061176
                  21,            0.052837,            0.016565,           0.0022665,             0.67364,             0.68289,             0.60263,             0.29275,            0.052673,            0.011991,           0.0025738,           0.0061176,           0.0061176,           0.0061176
                  22,            0.052045,            0.016843,           0.0026792,             0.47464,             0.68671,              0.5682,             0.29567,            0.051638,            0.012034,           0.0028549,           0.0059235,           0.0059235,           0.0059235
                  23,            0.047779,            0.016896,           0.0025333,             0.39925,             0.70833,             0.53443,             0.28481,            0.057564,            0.012395,           0.0028313,           0.0057294,           0.0057294,           0.0057294
                  24,            0.052367,            0.016665,           0.0021473,             0.41875,             0.66527,             0.50341,             0.25632,            0.053854,            0.011802,           0.0027649,           0.0055353,           0.0055353,           0.0055353
                  25,            0.049511,            0.017088,           0.0020162,             0.57503,             0.58333,             0.52185,              0.3194,            0.050719,            0.011516,            0.002581,           0.0053412,           0.0053412,           0.0053412
                  26,            0.044836,            0.016768,           0.0021234,             0.42688,             0.83333,             0.63552,             0.29498,            0.050263,            0.012399,           0.0020199,           0.0051471,           0.0051471,           0.0051471
